input,output
&,dan
+,tambah
/,atau
7an,tujuan
=,sama dengan
ababil,abg labil
ababil,anak ingusan
abal,palsu
abal2,palsu
abis,habis
acc,accord
ad,ada
adlah,adalah
adlh,adalah
adoh,aduh
afaik,as far as i know
aha,tertawa
ahaha,haha
aing,saya
aj,saja
aja,saja
ajep-ajep,dunia gemerlap
ajj,saja
ak,saya
aka,dikenal juga sebagai
akika,aku
akko,aku
akkoh,aku
akku,aku
akooh,saya
akuwh,aku
akyu,aku
alay,norak
albm,album
aljasa,asal jadi saja
alow,halo
ama,sama
ambilin,ambilkan
ambl,ambil
ampe,sampai
ancur,hancur
anjir,anjing
anjrit,anjing
ank,anak
anter,antar
anyway,ngomong-ngomong
ap,apa
ap2,apa-apa
apaan,apa
apasih,apa sih
ape,apa
apes,sial
aplot,unggah
aps,apa
apva,apa
aq,saya
aqu,aku
aquwh,aku
asap,sesegera mungkin
asbun,asal bunyi
aseek,asyik
aseekk,asyik
asek,asyik
asekk,asyik
aseknya,asyiknya
asem,asam
asoy,asyik
aspal,asli tetapi palsu
astrojim,astagfirullahaladzim
astul,asal tulis
ath,kalau begitu
ato,atau
atuh,kalau begitu
atw,atau
au ah,tidak mau tahu
ava,avatar
awak,saya
aws,awas
ay,sayang
ayang,sayang
ayank,sayang
ayok,ayo
b4,sebelum
bacot,banyak bicara
baget,keras kepala
bakalan,akan
bales,balas
bandes,bantuan desa
bangdes,pembangunan desa
bangedh,banget
bangkotan,tua
banpol,bantuan polisi
banpres,bantuan presiden
banpur,bantuan tempur
bansarkas,bantuan sarana kesehatan
baper,bawa perasaan
bapuk,rusak
basbang,basi
bazis,"badan amal, zakat, infak, dan sedekah"
bcanda,bercanda
bcoz,karena
bcra,bicara
bdg,bandung
beb,sayang
bebeb,pacar
begajulan,nakal
begin,awal
bejibun,banyak
bejibun,bertumpuk banyak
beliin,belikan
belom,belum
bencong,banci
bener,benar
bentar,sebentar
ber2,berdua
ber3,bertiga
berdikari,berdiri di atas kaki sendiri
beresin,membereskan
bet,banget
bete,bosan
beti,beda tipis
better,lebih baik
beud,banget
beut,banget
bf,pacar
bg,abang
bgd,banget
bgmn,bagaimana
bgs,bagus
bgt,banget
bhas,bahas
bhg,bahagia
bhubu,tidur
bijimane,bagaimana
bikin,buat
bimbuluh,bimbingan dan penyuluhan
binggo,banget
bingit,banget
bintal,bimbingan mental
bisi,kalau-kalau
bkl,akan
bklan,bakalan
bkn,bukan
bknnya,bukannya
bl,beli
blegug,bodoh
blg,bilang
blh,boleh
blm,belum
bln,bulan
bls,balas
blum,belum
bnchi,benci
bnci,benci
bngung,bingung
bnr,benar
bnran,yang benar
bnyk,banyak
bodor,lucu
bohay,badan aduhai
bokap,ayah
bokep,video porno
boker,buang air besar
bokin,pacar
bokis,bohong
bole,boleh
boljug,boleh juga
bolot,bodoh
bonek,bocah nekat
bonyok,ayah ibu
boong,bohong
boyeh,boleh
bpk,bapak
br,baru
brb,akan segera kembali
brb,segera kembali
brg,bareng
brjaya,berjaya
brngkt,berangkat
bro,saudara laki-laki
brp,berapa
bru,baru
brur,saudara laki-laki
bs,bisa
bsa,bisa
bsen,bosan
bsk,besok
bt,bosan sekali
bt,buat
btw,ngomong-ngomong
bu_bu,tidur
buaya,tidak setia
bubarin,bubarkan
bubbu,tidur
buber,buka bersama
bubu,tidur
bujubune,luar biasa
bumil,ibu hamil
buser,buru sergap
bw,bawa
bwhn,bawahan
bwt,buat
byar,bayar
byk,banyak
byr,bayar
byrin,bayarkan
c8,chat
cabal,sabar
cabut,pergi
cadas,keren
caem,cakep
calo,makelar
cama-cama,sama-sama
can,belum
cangcut,celana dalam
capcus,pergi
cape,capek
caper,cari perhatian
caur,jelek
ce,cewek
cekak,tidak ada uang
cekal,cegah tangkal
cekidot,coba lihat
cemen,penakut
cemplungin,cemplungkan
cengengesan,tertawa
ceper,pendek
cepet,cepat
ceu,kakak perempuan
cew,cewek
cewe,cewek
chuyunk,sayang
cibuk,sibuk
cimeng,ganja
cin,cinta
cipika cipiki,cium pipi kanan cium pipi kiri
ciye,cie
ciyh,sih
ckck,ck
ckepp,cakep
ckp,cakep
ckp,cukup
clbk,cinta lama bersemi kembali
cm,cuma
cmiiw,correct me if i'm wrong
cmiiw,koreksi saya
cmpr,campur
cmpur,campur
cnenk,senang
cnt,cinta
cntik,cantik
cong,banci
congor,mulut
congrats,selamat
conlok,cinta lokasi
cow,cowok
cowwyy,maaf
coz,karena
cp,siapa
cpa,siapa
cpe,capek
cppa,siapa
cppe,capek
cr,cara
crop,potong
cucok,cocok
cuek,tidak acuh
cuex,cuek
cuman,Cuma
cumi,Cuma miscall
cungkring,kurus tinggi
cups,culun
cupu,culun
curanmor,pencurian kendaraan bermotor
curas,pencurian dengan kekerasan
curcol,curahan hati colongan
curhat,curahan hati
cwek,cewek
cwok,cowok
cya,sampai jumpa lagi
cyin,cinta
cz,karena
d,di
da,ada
dafuk,kurang ajar
dagh,sudah
dah,sudah
damang,sehat
damat,tidak peduli
dapet,dapat
dateng,datang
de,adik
dech,deh
dek,adik
deket,dekat
demen,suka
dempa,demi apa
dengerin,dengarkan
deyh,deh
dg,dengan
dgn,dengan
dh,deh
diancurin,dihancurkan
digosipin,digosipkan
dimaafin,dimaafkan
dimana2,dimana-mana
dimintak,diminta
dimna,dimana
disono,di sana
diuber,dikejar
dket,dekat
dkit,sedikit
dkk,dan kawan-kawan
dkt,dekat
dl,dulu
dll,dan lain-lain
dlm,dalam
dlu,dulu
dmn,dimana
dngn,dengan
doang,saja
dodol,bodoh
doi,dia
doku,uang
don juan,playboy
dongs,dong
donlot,unduh
dpt,dapat
dr,dari
dri,dari
drmana,darimana
drmn,darimana
drpd,daripada
drtd,dari tadi
dsb,dan sebagainya
dsna,disana
dst,dan seterusnya
dstu,disitu
dtg,datang
dugem,dunia gemerlap
duh,aduh
duit,uang
duren,durian
dy,dia
ed,edisi
edan,gila
egp,emang gue pikirin
eike,aku
eke,aku
elo,kamu
elu,kamu
emang,memang
emangnya,memangnya
emg,memang
emng,memang
emte,makan teman
endak,tidak
engga,tidak
enggak,tidak
entar,nanti
envy,iri
epsd,episode
etc,et cetera
ex,mantan
ext,extension
fake,falsu
fans,penggemar
faq,pertanyaan umum
fax,facsimile
fb,facebook
fham,paham
fhm,paham
fifo,first in first out
finek,finansial ekonomi
fix,pasti
folbek,follow back
ft,foto
fwd,diterukan
fyi,asal tahu saja
fyi,sebagai informasi
g,tidak
ga,tidak
gaada,tidak ada
gaada,tidak ada uang
gabisa,tidak bisa
gabut,gaji buta
gada,tidak ada
gag,tidak
gahar,sangar
gaje,tidak jelas
gajebo,tidak jelas
gak papa,tidak apa-apa
gak,tidak
galau,bimbang
gamau,tidak mau
gan,juragan
gapapa,tidak apa-apa
gaptek,gagap teknologi
garing,hambar
gatau,tidak tahu
gatek,gagap teknologi
gatot,gagal total
gawe,kerja
gax,tidak
gbs,tidak bisa
gda,tidak ada uang
gebetan,orang yang disuka
geer,gede rasa
geje,tidak jelas
gelo,gila
gengges,ganggu
gepeng,gelandangan dan pengemis
gf,pacar
ggl,gagal
ghiey,lagi
ghiy,lagi
gi,lagi
gile,gila
giman,gigi mancung
gimana,bagaimana
gini,begini
gino,gigi nongol
gitchu,gitu
githu,gitu
gitu,begitu
gj,tidak jelas
gk,tidak
gmana,bagaimana
gmn,bagaimana
gmpng,gampang
gn,begini
goblog,goblok
goblok,bodoh
gogon,go internasional
gokil,gila
golput,golongan putih
gombal,suka merayu
gowes,mengayuh sepeda
gpl,tidak pakai lama
gpny,tidak punya
gpp,tidak apa-apa
gr,gede rasa
grammar,tata bahasa
gretong,gratis
gretongan,gratisan
gt,begitu
gt,gitu
gtau,tidak tahu
gtw,tidak tahu
gua,saya
gue,saya
guoblok,goblok
guys,teman-teman
gw,saya
gws,cepat sembuh
ha,tertawa
hacep,pesta pora
haghaghag,tertawa
haha,tertawa
hakhak,tertawa
hallow,halo
handak,bahan peledak
hankam,pertahanan dan keamanan
hansip,pertahanan sipil
hater,pembenci
haters,pembenci
hdp,hidup
hdr,hadir
hehe,he
hellow,halo
helo,halo
helow,halo
hey,hai
hi,hai
hit,terpopuler
hits,terkini
hlm,halaman
hlng,hilang
hny,hanya
hnya,hanya
hoax,isu bohong
hoax,palsu
houm,rumah
hr,hari
hrs,harus
hrus,harus
hubad,hubungan angkatan darat
hubdar,perhubungan darat
hubla,perhubungan laut
huff,mengeluh
huft,mengeluh
hum,rumah
humas,hubungan masyarakat
humz,rumah
idk,saya tidak tahu
ig,instagram
ilang,hilang
ilfeel,tidak suka
ilfil,tidak suka
imba,jago sekali
imho,in my humble opinion
imoet,imut
imoetz,imut
indo,indonesia
info,informasi
iow,dengan kata lain
ipon,iphone
item,hitam
itung,hitung
itungan,hitungan
iy,iya
iye,iya
iyo,iya
ja,saja
jablay,jarang dibelai
jadiin,jadikan
jadul,jaman dulu
jaim,jaga image
jancuk,anjing
jayus,tidak lucu
jd,jadi
jdi,jadi
jdikan,jadikan
jdnya,jadinya
jem,jam
jg,juga
jga,juga
jgan,jangan
jgn,jangan
jgnkan,jangankan
jijay,jijik
jir,anjing
jkt,jakarta
jl,jalan
jln,jalan
jls,jelas
jnj,janji
jomblo,tidak punya pacar
jth,jatuh
jubir,juru bicara
jurdil,jujur adil
jutek,galak
jwb,jawab
k,ke
ka,kakak
kab,kabupaten
kabag,kepala bagian
kabor,kabur
kacian,kasihan
kacrut,kacau
kadit,kepala direktorat
kadiv,kepala divisi
kaga,tidak
kagak,tidak
kaka,kakak
kalo,kalau
kampret,sialan
kamseupay,kampungan
kamtib,keamanan dan ketertiban
kamtibmas,keamanan dan ketertiban masyarakat
kamuh,kamu
kamuwh,kamu
kamyu,kamu
kanwil,kantor wilayah
kapt,kapten
karn,karena
karna,karena
kasat,kepala satuan
kasubbag,kepala subbagian
kasubbid,kepala subbidang
katrok,kampungan
kau,kamu
kayanya,kayaknya
kbar,kabar
kbr,kabar
kca,kaca
kcian,kasihan
kdu,harus
keburu,terlanjur
kec,kecamatan
kedubes,kedutaan besar
kejurnas,kejuaraan nasional
kek,seperti
kekeuh,keras kepala
keknya,kayaknya
kel,kelurahan
keles,kali
keleus,kali
keliatan,kelihatan
kemaren,kemarin
keneh,masih
kepengen,mau
kepikiran,terpikirkan
kepingin,mau
kepo,mau tahu urusan orang
kepo,penasaran
kepsek,kepala sekolah
kere,tidak punya uang
kesbang,kesatuan bangsa
kesian,kasihan
kesra,kesejahteraan rakyat
ketauan,ketahuan
ketrima,diterima
keukeuh,keras kepala
kgiatan,kegiatan
kgk,kagak
khan,kan
kibul,bohong
kibus,kaki busuk
kicep,diam
kimpoi,kawin
kipak,bohong
kk,kakak
kl,kalau
klian,kalian
klianz,kalian
klo,kalau
klon,duplikat
kloter,kelompok terbang
klrg,keluarga
klu,kalau
kluarga,keluarga
klw,kalau
klwrga,keluarga
km,kamu
kmari,kemari
kmn,kemana
kmps,kampus
kmpus,kampus
kmrn,kemarin
kn,kan
knal,kenal
knl,kenal
knp,kenapa
knpa,kenapa
kodya,kota madya
kog,kok
komdis,komisi disiplin
kompi,komputer
komsov,komunis sovyet
komtiong,komunis Tiongkok
kongkow,kumpul bareng teman-teman
kongkow,kumpul-kumpul
konjen,konsulat jenderal
kopdar,kopi darat
koq,kok
korup,korupsi
kpd,kepada
kpn,kapan
kptsan,keputusan
krenz,keren
krik,garing
krm,kirim
krn,karena
krna,karena
kt,kita
ktauan,ketahuan
ktmu,ketemu
ktny,katanya
ktr,kantor
kudu,harus
kumkeb,kumpul kebo
kuper,kurang pergaulan
kuq,kok
kuy,ayo
kw,imitasi
ky,seperti
kyk,kayak
kyk,seperti
kykny,kayanya
kzl,kesal
la,lah
laka,kecelakaan
lam,salam
lambreta,lambat
lamp,lampiran
lansia,lanjut usia
lanud,landasan udara
lapas,lembaga pemasyarakatan
latgab,latihan gabungan
lbur,libur
lebay,berlebihan
lebeh,berlebihan
leh,boleh
lekong,laki-laki
lelet,lambat
lemot,lambat berfikir
lemot,lemah otak
lg,lagi
lgi,lagi
lgkp,lengkap
lgs,langsung
lgsg,langsung
lht,lihat
liat,lihat
linmas,perlindungan masyarakat
litbang,penelitian dan pengembangan
lmyan,lumayan
lmyn,lumayan
lngkp,lengkap
lnjut,lanjut
lo,kamu
loch,loh
loe,kamu
lol,tertawa
lola,lambat berfikir
lom,belum
louph,cinta
loupz,cinta
love,cinta
low,kalau
lowh,kamu
lp,lupa
lu,kamu
luber,"langsung, umum, bebas, dan rahasia"
luchu,lucu
luchuw,lucu
luff,cinta
lum,belum
luph,cinta
luthu,lucu
lw,kamu
lwn,lawan
lwt,lewat
maaci,terima kasih
maacih,terima kasih
maaciw,terima kasih
mabal,bolos
mabes,markas besar
mabok,mabuk
macem,macam
macem-macem,macam-macam
macih,masih
madesu,masa depan suram
maem,makan
maen,main
magabut,makan gaji buta
mager,malas gerak
maharani,mahal
mahatma,maju sehat bersama
maho,homo
maho,homoseksual
mainstream,sangat umum
mak jang,kaget
mak,ibu
makasih,terima kasih
maksain,memaksa
malah,bahkan
malem,malam
males,malas
malu2in,memalukan
mam,makan
mamz,makan
maneh,kamu
manies,manis
maniez,manis
mantep,mantap
mao,mau
markus,makelar kasus
masukin,masukkan
mba,mbak
mcm,macam
mehong,mahal
melu,ikut
mending,lebih baik
meneketehe,tidak tahu
menel,centil
mepet,dekat sekali
mgkn,mungkin
mgu,minggu
mhn,mohon
migas,minyak dan gas bumi
miker,minuman keras
mikol,minuman beralkohol
milis,mailing list
mimin,admin
minn,admin
miras,minuman keras
mkasih,terima kasih
mkn,makan
mksd,maksud
mksh,terima kasih
mksih,terima kasih
mlah,malah
mlm,malam
mls,malas
mmg,memang
mngkn,mungkin
mnt,minta
mo,mau
modus,maksud lain
moge,motor gede
mokad,mati
mokat,mati
moso,masa
mosok,masa
mpe,sampai
mrk,mereka
mrka,mereka
msh,masih
msih,masih
msk,masuk
mskpn,meskipun
mslh,masalah
msng2,masing-masing
mt,makan teman
muahal,mahal
mubes,musyawarah besar
much,lebih
muker,musyawarah kerja
mulu,melulu
mumet,pusing
mumpung,selagi
muna,munafik
munas,musyawarah nasional
munaslub,musyawarah nasional luar biasa
muntaber,muntah dan berak
mure,murah
musda,musyawarah daerah
musti,mesti
muup,maaf
muupz,maaf
muuv,maaf
mw,mau
mw,now watching
n,dan
nal,kenal
nanam,menanam
nangis,menangis
nanya,bertanya
naon,apa
napa,kenapa
napi,narapidana
napol,narapidana politik
napza,"narkotika, alkohol, psikotropika, dan zat adiktif "
naq,anak
narkoba,"narkotika, psikotropika, dan obat terlarang"
narsis,bangga pada diri sendiri
nasgor,nasi goreng
nax,anak
nda,tidak
ndak,tidak
ndiri,sendiri
ndut,gendut
ne,ini
nekolim,neokolonialisme
nekolin,neokolonialisme
nelfon,menelepon
nembak,menyatakan cinta
ngabis2in,menghabiskan
ngabuburit,menunggu berbuka puasa
ngakak,tertawa
ngaku,mengaku
ngambek,marah
ngambil,mengambil
ngampus,pergi ke kampus
nganggur,tidak punya pekerjaan
ngantri,mengantri
ngapah,kenapa
ngapain,sedang apa
ngaret,terlambat
ngaruh,berpengaruh
ngasih,memberikan
ngawur,berbicara sembarangan
ngebandel,berbuat bandel
ngeceng,kumpul bareng-bareng
ngegosip,bergosip
ngeh,paham
ngeh,sadar
ngeklaim,mengklaim
ngekos,tinggal di kos
ngeksis,menjadi eksis
ngelamar,melamar
ngeles,berkilah
ngeliat,melihat
ngelidur,menggigau
ngemeng,bicara terus-terusan
ngerampok,merampok
ngerti,mengerti
ngeuh,paham
ngga,tidak
nggak,tidak
nggk,tidak
nggu,menunggu
ngibul,berbohong
ngikut,ikut
ngiler,mau
nginep,menginap
ngiri,iri
ngisi,mengisi
ngisiin,mengisikan
ngk,tidak
ngmg,bicara
ngmng,bicara
ngocol,lucu
ngomong,bicara
ngomongin,membicarakan
ngubek2,mencari-cari
ngumpul,berkumpul
ngurus,mengurus
ni,ini
nic,penggemar agnezmo
nice,bagus
nicong,penggemar agnezmo
nie,ini
niech,nih
nih,ini
nimbrung,ikut serta
niyh,nih
nkah,nikah
nmr,nomor
nnti,nanti
nntn,nonton
no,nomor
nobar,nonton bareng
nongkrong,kumpul-kumpul
np,now playing
nrp,narapidana
ntar,nanti
ntar,sebentar
ntn,nonton
nuhun,terima kasih
numpuk,bertumpuk
nunggu,menunggu
nutupin,menutupi
nyampah,membuat sampah
nyari,mencari
nyariin,mencari
nyekar,menyekar
nyiapin,mempersiapkan
nyicil,mencicil
nyiram,menyiram
nyoblos,mencoblos
nyok,ayo
nyokap,ibu
nyungsep,jatuh
o/,oleh
official,resmi
ogah,tidak mau
ok,ok
ol,online
olh,oleh
omdo,omong doang
ongkir,ongkos kirim
oon,bodoh
oot,out of topic
or,atau
org,orang
org2,orang-orang
orkes,olahraga dan kesehatan
ortu,orang tua
ospek,orientasi studi dan pengenalan kampus
otda,otonomi daerah
otre,ok
otw,"on the way, sedang di jalan"
pa,apa
pacal,pacar
pahe,paket hemat
pake,pakai
pakek,pakai
pala,kepala
palbis,paling bisa
panja,panitia kerja
pansus,panitia khusus
pantura,pantai utara
parpol,partai politik
pas2an,pas-pasan
pasutri,pasangan suami istri
patas,cepat dan terbatas
pcr,pacar
pcran,pacaran
pd,pada
pdhal,padahal
pdhl,padahal
pede,percaya diri
pelatda,pemusatan latihan daerah
pelatnas,pemusatan latihan nasional
pembokat,pembantu
pemda,pemerintah daerah
pemilu,pemilihan umum
pemkot,pemerintah kota
pemprov,pemerintah provinsi
pemred,pemimpin redaksi
pengen,ingin
penjas,pendidikan jasmani
penmas,pendidikan masyarakat
perda,peraturan daerah
perek,wanita tuna susila
peres,palsu
perhatiin,perhatikan
pertamax,pertama
pesenan,pesanan
pesenin,pesankan
pg,pagi
pgang,pegang
pgg,pegang
pgi,pergi
pi,tapi
pijetin,pijitkan
pilkada,pemilihan kepala daerah
pimpro,pemimpin proyek
pisan,sangat
pisgor,pisang goreng
pk,peka
pk,penjahat kelamin
pkai,pakai
pke,pakai
plg,paling
plg,pulang
pls,tolong
pm,private message
pmrnth,pemerintah
pnh,pernah
pntg,penting
pny,punya
polantas,polisi lalu lintas
polwan,polisi wanita
ponpes,pondok pesantren
ponsel,telepon seluler
